0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:03 +0530] "GET /jqueryajax/ques7.jsp HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:03 +0530] "GET /jqueryajax/ques7.jsp HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:04 +0530] "GET /jqueryajax/ques7.jsp HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:04 +0530] "GET /jqueryajax/ques7.jsp HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:04 +0530] "GET /jqueryajax/JSON.jsp HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:39 +0530] "GET /jqueryajax/ques7.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:46 +0530] "GET /jqueryajax/ques7.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:46 +0530] "GET /jqueryajax/ques7.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:46 +0530] "GET /jqueryajax/ques7.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:47 +0530] "GET /jqueryajax/JSON.jsp HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:12:49 +0530] "GET /jqueryajax/JSON.jsp HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:13:38 +0530] "GET /jqueryajax/ques7.jsp HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [15/Nov/2017:18:13:38 +0530] "GET /jqueryajax/JSON.jsp HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [15/Nov/2017:19:08:39 +0530] "GET /jqueryajax/XML.jsp HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [15/Nov/2017:19:08:40 +0530] "GET /jqueryajax/JSON.jsp HTTP/1.1" 200 35
